team,game,win,point
IRAN,1,1,3
BRAZIL,1,1,3
FRANCE,1,1,3
RUSSIA,1,0,0
POLAND,1,1,3
ARGENTINA,1,1,3
ITALY,1,0,0
CANADA,1,0,0
USA,1,0,0
JAPAN,1,1,3
SERBIA,1,0,0
BULGARIA,1,1,3
AUSTRALIA,1,0,0
GERMANY,1,1,2
PORTUGAL,1,0,0
CHINA,1,0,1
IRAN,2,2,6
BRAZIL,2,2,5
FRANCE,2,2,6
RUSSIA,2,1,3
POLAND,2,2,5
ARGENTINA,2,2,6
ITALY,2,1,3
CANADA,2,1,3
USA,2,0,1
JAPAN,2,1,3
SERBIA,2,0,0
BULGARIA,2,1,3
AUSTRALIA,2,0,1
GERMANY,2,1,2
PORTUGAL,2,0,0
CHINA,2,0,1
IRAN,3,3,9
BRAZIL,3,2,8
FRANCE,3,3,9
RUSSIA,3,2,5
POLAND,3,2,5
ARGENTINA,3,2,6
ITALY,3,2,6
CANADA,3,2,6
USA,3,1,4
JAPAN,3,1,3
SERBIA,3,0,1
BULGARIA,3,1,3
AUSTRALIA,3,0,1
GERMANY,3,1,2
PORTUGAL,3,1,3
CHINA,3,0,1
IRAN,4,3,10
BRAZIL,4,4,10
FRANCE,4,4,12
RUSSIA,4,3,8
POLAND,4,2,5
ARGENTINA,4,2,6
ITALY,4,3,9
CANADA,4,3,9
USA,4,1,4
JAPAN,4,2,6
SERBIA,4,0,2
BULGARIA,4,1,3
AUSTRALIA,4,0,1
GERMANY,4,2,4
PORTUGAL,4,1,3
CHINA,4,1,4
IRAN,5,4,13
BRAZIL,5,5,13
FRANCE,5,5,15
RUSSIA,5,4,11
POLAND,5,3,8
ARGENTINA,5,2,6
ITALY,5,4,12
CANADA,5,4,12
USA,5,1,4
JAPAN,5,2,6
SERBIA,5,1,4
BULGARIA,5,1,3
AUSTRALIA,5,0,2
GERMANY,5,2,5
PORTUGAL,5,1,3
CHINA,5,1,4
IRAN,6,5,16
BRAZIL,6,6,15
FRANCE,6,5,16
RUSSIA,6,5,14
POLAND,6,4,11
ARGENTINA,6,2,7
ITALY,6,4,12
CANADA,6,5,14
USA,6,2,7
JAPAN,6,2,6
SERBIA,6,2,6
BULGARIA,6,2,5
AUSTRALIA,6,1,5
GERMANY,6,2,5
PORTUGAL,6,1,3
CHINA,6,1,4
IRAN,7,6,19
BRAZIL,7,6,16
FRANCE,7,6,19
RUSSIA,7,6,17
POLAND,7,4,11
ARGENTINA,7,2,7
ITALY,7,5,15
CANADA,7,5,13
USA,7,3,10
JAPAN,7,2,6
SERBIA,7,3,8
BULGARIA,7,2,7
AUSTRALIA,7,1,6
GERMANY,7,2,5
PORTUGAL,7,2,6
CHINA,7,1,4
IRAN,8,7,21
BRAZIL,8,7,19
FRANCE,8,6,19
RUSSIA,8,7,20
POLAND,8,4,12
ARGENTINA,8,3,10
ITALY,8,6,18
CANADA,8,5,13
USA,8,4,13
JAPAN,8,3,8
SERBIA,8,4,10
BULGARIA,8,2,8
AUSTRALIA,8,1,6
GERMANY,8,2,5
PORTUGAL,8,2,7
CHINA,8,1,4
IRAN,9,8,24
BRAZIL,9,8,22
FRANCE,9,6,19
RUSSIA,9,7,20
POLAND,9,5,15
ARGENTINA,9,4,12
ITALY,9,7,21
CANADA,9,5,13
USA,9,5,16
JAPAN,9,4,10
SERBIA,9,5,13
BULGARIA,9,2,8
AUSTRALIA,9,1,7
GERMANY,9,2,6
PORTUGAL,9,2,7
CHINA,9,1,4
IRAN,10,9,27
BRAZIL,10,9,25
FRANCE,10,7,22
RUSSIA,10,8,23
POLAND,10,6,17
ARGENTINA,10,4,13
ITALY,10,8,24
CANADA,10,5,13
USA,10,6,19
JAPAN,10,4,10
SERBIA,10,5,13
BULGARIA,10,2,8
AUSTRALIA,10,1,7
GERMANY,10,2,6
PORTUGAL,10,2,7
CHINA,10,1,4
IRAN,11,10,30
BRAZIL,11,10,27
FRANCE,11,8,25
RUSSIA,11,9,26
POLAND,11,7,19
ARGENTINA,11,5,16
ITALY,11,8,24
CANADA,11,6,16
USA,11,6,19
JAPAN,11,5,13
SERBIA,11,5,14
BULGARIA,11,2,8
AUSTRALIA,11,1,7
GERMANY,11,2,7
PORTUGAL,11,2,7
CHINA,11,1,4
IRAN,12,10,30
BRAZIL,12,11,30
FRANCE,12,9,28
RUSSIA,12,9,26
POLAND,12,8,21
ARGENTINA,12,6,19
ITALY,12,8,25
CANADA,12,7,18
USA,12,7,22
JAPAN,12,5,14
SERBIA,12,5,14
BULGARIA,12,3,10
AUSTRALIA,12,2,10
GERMANY,12,2,8
PORTUGAL,12,2,7
CHINA,12,1,4
IRAN,13,11,33
BRAZIL,13,12,33
FRANCE,13,9,28
RUSSIA,13,10,29
POLAND,13,9,24
ARGENTINA,13,7,22
ITALY,13,8,25
CANADA,13,8,21
USA,13,7,22
JAPAN,13,5,14
SERBIA,13,5,14
BULGARIA,13,4,13
AUSTRALIA,13,2,10
GERMANY,13,3,11
PORTUGAL,13,2,7
CHINA,13,1,4
IRAN,14,12,36
BRAZIL,14,13,36
FRANCE,14,10,31
RUSSIA,14,11,31
POLAND,14,10,27
ARGENTINA,14,7,23
ITALY,14,8,25
CANADA,14,8,21
USA,14,8,25
JAPAN,14,6,17
SERBIA,14,5,14
BULGARIA,14,4,13
AUSTRALIA,14,3,13
GERMANY,14,3,11
PORTUGAL,14,2,7
CHINA,14,1,4
IRAN,15,12,36
BRAZIL,15,14,39
FRANCE,15,11,34
RUSSIA,15,12,34
POLAND,15,11,30
ARGENTINA,15,8,26
ITALY,15,8,25
CANADA,15,8,21
USA,15,9,28
JAPAN,15,7,19
SERBIA,15,6,17
BULGARIA,15,4,13
AUSTRALIA,15,3,13
GERMANY,15,3,12
PORTUGAL,15,2,7
CHINA,15,1,4
